## Settings
Starting Capital,100000
Export Date,2026-03-14

## Trades
Ticker,Direction,Sector,Entry Date,Entry Price,Original Qty,Current Qty,Stop Price,Last Price,Prev Close,Closed,Trim1 Date,Trim1 Price,Trim1 Qty,Trim1 Type,Trim2 Date,Trim2 Price,Trim2 Qty,Trim2 Type,Trim3 Date,Trim3 Price,Trim3 Qty,Trim3 Type
AAPL,long,Technology,2026-01-05,185.20,54,0,180.00,192.50,191.80,YES,2026-01-12,192.00,27,trim_1_2,2026-01-20,198.50,27,sell_rest,,,,
MSFT,long,Technology,2026-01-06,390.00,25,0,382.00,405.30,404.00,YES,2026-01-15,402.00,25,sell_rest,,,,,,,,
NVDA,long,Technology,2026-01-08,142.50,70,0,136.00,138.20,139.10,YES,2026-01-10,136.00,70,sell_rest,,,,,,,,
TSLA,long,Consumer Cyclical,2026-01-10,245.00,40,0,235.00,268.00,265.50,YES,2026-01-15,260.00,13,trim_1_3,2026-01-22,275.00,13,trim_1_3,2026-01-30,280.00,14,sell_rest
AMZN,long,Consumer Cyclical,2026-01-12,195.80,51,0,190.00,202.40,201.50,YES,2026-01-20,203.50,25,trim_1_2,2026-01-28,208.00,26,sell_rest,,,,
SPY,short,ETF,2026-01-14,480.00,20,0,485.00,475.00,476.20,YES,2026-01-16,476.00,20,sell_rest,,,,,,,,
GOOGL,long,Communication Services,2026-01-16,175.60,56,0,170.00,182.30,181.50,YES,2026-01-24,183.00,28,trim_1_2,2026-02-03,178.00,28,sell_rest,,,,
META,long,Communication Services,2026-01-20,565.00,17,0,550.00,580.20,578.00,YES,2026-01-28,582.00,8,trim_1_2,2026-02-05,575.00,9,sell_rest,,,,
JPM,long,Financial Services,2026-01-22,210.50,47,0,205.00,218.30,217.50,YES,2026-02-01,220.00,23,trim_1_2,2026-02-10,225.00,24,sell_rest,,,,
XOM,long,Energy,2026-01-25,112.30,89,0,108.00,118.50,117.80,YES,2026-02-03,118.00,44,trim_1_2,2026-02-12,120.00,45,sell_rest,,,,
AMD,long,Technology,2026-01-28,165.00,60,0,158.00,155.20,156.50,YES,2026-02-01,158.00,60,sell_rest,,,,,,,,
QQQ,short,ETF,2026-02-03,510.00,19,0,518.00,502.00,503.50,YES,2026-02-07,505.00,9,trim_1_2,2026-02-12,508.00,10,sell_rest,,,,
BA,long,Industrials,2026-02-05,178.50,55,0,172.00,185.20,184.00,YES,2026-02-12,186.00,18,trim_1_3,2026-02-20,190.00,18,trim_1_3,2026-02-28,192.00,19,sell_rest
DIS,long,Communication Services,2026-02-08,115.20,86,0,110.00,108.50,109.20,YES,2026-02-15,110.00,86,sell_rest,,,,,,,,
COIN,long,Financial Services,2026-02-10,225.00,44,0,215.00,242.00,240.50,YES,2026-02-18,240.00,22,trim_1_2,2026-02-25,248.00,22,sell_rest,,,,
GLD,long,ETF,2026-02-12,188.50,53,53,185.00,194.20,193.50,NO,,,,,,,,,,,,
COST,long,Consumer Defensive,2026-02-15,920.00,10,10,900.00,935.50,932.00,NO,,,,,,,,,,,,
PLTR,long,Technology,2026-02-18,85.20,117,78,80.00,92.50,91.80,NO,2026-02-25,90.00,39,trim_1_3,,,,,,,,
UNH,long,Healthcare,2026-02-20,505.00,19,19,490.00,520.30,518.50,NO,,,,,,,,,,,,
V,long,Financial Services,2026-02-25,310.50,32,32,300.00,318.20,317.00,NO,,,,,,,,,,,,
ARKK,short,ETF,2026-03-01,55.80,179,179,58.00,53.20,53.80,NO,,,,,,,,,,,,
LLY,long,Healthcare,2026-03-05,780.00,12,12,760.00,795.50,792.00,NO,,,,,,,,,,,,

## PriceCache
Ticker,Date,Close
AAPL,2026-01-06,186.50
AAPL,2026-01-12,191.80
AMZN,2026-01-15,198.20
GOOGL,2026-01-20,178.50
GLD,2026-03-10,193.50
PLTR,2026-02-25,89.50
PLTR,2026-03-10,91.80
COST,2026-03-10,932.00
UNH,2026-03-10,518.50
V,2026-03-10,317.00
ARKK,2026-03-10,53.80
LLY,2026-03-10,792.00
